categorie,rang,favoris_par_jour,favoris,age_jours,prix,marque,etat,titre,url
Sport › Sports de raquette,4,78.1,50,0.64,178.0,Polène,Très bon état,Polène pruuni nahast käekott,https://www.vinted.fr/items/9707145860-polene-pruuni-nahast-kaekott
Sport › Sports de raquette,5,44.6,33,0.74,160.0,NOX,Très bon état,Nox AT10 Genius 12k Xtrem 2026,https://www.vinted.fr/items/9705851506-nox-at10-genius-12k-xtrem-2026
Sport › Sports de raquette,6,43.0,64,1.49,7.5,Decathlon,Bon état,Padel Racket,https://www.vinted.fr/items/9699393364-padel-racket
Sport › Sports de raquette,7,39.0,46,1.18,10.0,,Neuf sans étiquette,Raquetas Vintage Court Master,https://www.vinted.fr/items/9703947570-raquetas-vintage-court-master
Sport › Sports de raquette,8,38.8,52,1.34,18.0,adidas,Bon état,Raquette de tennis adidas,https://www.vinted.fr/items/9701773995-raquette-de-tennis-adidas
Sport › Sports de raquette,9,34.0,17,0.25,85.0,Wilson,Très bon état,Wilson - Jack Kramer Pro Staff-kroon inclusief hoes,https://www.vinted.fr/items/9713905874-wilson-jack-kramer-pro-staff-kroon-inclusief-hoes
Sport › Sports de raquette,10,34.0,17,0.22,15.0,Dunlop,Très bon état,Raquette de tennis,https://www.vinted.fr/items/9714347707-raquette-de-tennis
Sport › Sports de raquette,11,33.9,19,0.56,129.0,Bullpadel,Très bon état,Raquette de Padel Bullpadel Neuron 02 Edge,https://www.vinted.fr/items/9708464536-raquette-de-padel-bullpadel-neuron-02-edge
Sport › Sports de raquette,12,32.1,17,0.53,25.0,Head,Très bon état,Head Elite * Tennistasche,https://www.vinted.fr/items/9709045109-head-elite-tennistasche
Sport › Sports de raquette,13,30.0,15,0.28,15.0,Head,Très bon état,Sac à dos de tennis HEAD,https://www.vinted.fr/items/9713571536-sac-a-dos-de-tennis-head
Sport › Sports de raquette,14,27.6,48,1.74,20.0,Dunlop,Très bon état,"Raquette de Tennis Vintage ""Dunlop""",https://www.vinted.fr/items/9695627720-raquette-de-tennis-vintage-dunlop
Sport › Sports de raquette,15,26.0,13,0.34,33.0,adrenix,Neuf avec étiquette,Lote Padel 2 palas y 6 pelotas,https://www.vinted.fr/items/9712483621-lote-padel-2-palas-y-6-pelotas
Maison › Outils et bricolage,1,224.0,112,0.22,24.0,Vintage Bazaar,Très bon état,Unique porte papier toilet,https://www.vinted.fr/items/9714352104-unique-porte-papier-toilet
Maison › Outils et bricolage,2,73.6,39,0.53,8.0,Parkside,Neuf sans étiquette,Coffret multifonctions,https://www.vinted.fr/items/9708919260-coffret-multifonctions
Maison › Outils et bricolage,3,69.3,70,1.01,25.0,mixabloem,Neuf avec étiquette,Robinet de cuisine NEUF en acier doré brossé,https://www.vinted.fr/items/9704702801-robinet-de-cuisine-neuf-en-acier-dore-brosse
Maison › Outils et bricolage,4,68.0,34,0.35,2.0,Leroy Merlin,Neuf sans étiquette,Boutons de meubles en bois et rotin,https://www.vinted.fr/items/9712392176-boutons-de-meubles-en-bois-et-rotin
Maison › Outils et bricolage,5,48.1,26,0.54,29.99,3M,Neuf sans étiquette,Disques de microfinition film 3M 266L,https://www.vinted.fr/items/9708791116-disques-de-microfinition-film-3m-266l
Maison › Outils et bricolage,6,46.0,23,0.27,40.0,Antik,Très bon état,Antiker Messing Wandhaken um 1920/30 | Muschel Jugendstil Art Déco Klapphaken,https://www.vinted.fr/items/9711654534-antiker-messing-wandhaken-um-192030-muschel-jugendstil-art-deco-klapphaken
Maison › Outils et bricolage,7,46.0,23,0.43,79.99,,Neuf avec étiquette,Handgemaakte waskom uit Marokko - ø 35 cm bruine crème,https://www.vinted.fr/items/9710915461-handgemaakte-waskom-uit-marokko-o-35-cm-bruine-creme
Maison › Outils et bricolage,8,46.0,23,0.27,29.0,Stanley,Neuf sans étiquette,Niveau precison stanley aimante neuf,https://www.vinted.fr/items/9713684252-niveau-precison-stanley-aimante-neuf
Maison › Outils et bricolage,9,43.5,57,1.31,20.0,,Très bon état,Candeeiro led vertical,https://www.vinted.fr/items/9702157227-candeeiro-led-vertical
Maison › Outils et bricolage,10,38.0,19,0.36,5.0,Accessoires,Bon état,Poignées meuble,https://www.vinted.fr/items/9712085866-poignees-meuble
Maison › Outils et bricolage,11,34.0,17,0.18,38.0,Parkside,Très bon état,Bouloneuse parkside,https://www.vinted.fr/items/9714736734-bouloneuse-parkside
Maison › Outils et bricolage,12,32.9,78,2.37,30.0,Couture,Satisfaisant,Travailleuse,https://www.vinted.fr/items/9691221356-travailleuse
Maison › Outils et bricolage,13,26.0,13,0.33,27.0,Amazon,Neuf sans étiquette,Caméra exterieur Tapo,https://www.vinted.fr/items/9712736285-camera-exterieur-tapo
